From,To,data.count
Pittsburgh Pirates,Colorado Rockies,1
Colorado Rockies,Pittsburgh Pirates,1
Pittsburgh Pirates,New York Yankees,1
New York Yankees,Pittsburgh Pirates,1
Detroit Tigers,Toronto Blue Jays,1
Toronto Blue Jays,Detroit Tigers,1
Atlanta Braves,Milwaukee Brewers,1
Milwaukee Brewers,Atlanta Braves,1
Arizona Diamondbacks,Tampa Bay Rays,2
Tampa Bay Rays,Arizona Diamondbacks,1
Miami Marlins,Los Angeles Dodgers,5
Atlanta Braves,St. Louis Cardinals,2
St. Louis Cardinals,Atlanta Braves,2
Tampa Bay Rays,Los Angeles Dodgers,2
Los Angeles Dodgers,Tampa Bay Rays,2
San Diego Padres,Kansas City Royals,1
Seattle Mariners,St. Louis Cardinals,1
St. Louis Cardinals,Seattle Mariners,1
Texas Rangers,Los Angeles Angels,1
Arizona Diamondbacks,Los Angeles Dodgers,1
Arizona Diamondbacks,Cleveland Indians,1
Pittsburgh Pirates,Oakland Athletics,1
Colorado Rockies,Los Angeles Dodgers,1
Los Angeles Dodgers,Kansas City Royals,1
Miami Marlins,Kansas City Royals,2
Oakland Athletics,Toronto Blue Jays,1
Tampa Bay Rays,Pittsburgh Pirates,1
Los Angeles Dodgers,Cincinnati Reds,1
Cincinnati Reds,Los Angeles Dodgers,1
Seattle Mariners,Toronto Blue Jays,1
Toronto Blue Jays,Seattle Mariners,1
Detroit Tigers,Arizona Diamondbacks,2
New York Yankees,Detroit Tigers,1
Cleveland Indians,Oakland Athletics,1
Oakland Athletics,Cleveland Indians,1
Los Angeles Dodgers,Los Angeles Angels,2
Pittsburgh Pirates,Philadelphia Phillies,1
Philadelphia Phillies,Pittsburgh Pirates,1
Houston Astros,Baltimore Orioles,1
Cincinnati Reds,Detroit Tigers,1
Boston Red Sox,Detroit Tigers,3
Detroit Tigers,Boston Red Sox,1
Los Angeles Dodgers,Miami Marlins,4
Boston Red Sox,Kansas City Royals,1
Detroit Tigers,Cincinnati Reds,2
Miami Marlins,Cincinnati Reds,2
Los Angeles Angels,Los Angeles Dodgers,2
Cincinnati Reds,Miami Marlins,1
Colorado Rockies,Oakland Athletics,1
Oakland Athletics,Colorado Rockies,1
Colorado Rockies,Los Angeles Angels,1
Los Angeles Angels,Colorado Rockies,1
Miami Marlins,Chicago White Sox,1
Chicago White Sox,Miami Marlins,1
Boston Red Sox,Arizona Diamondbacks,4
Texas Rangers,Washington Nationals,2
Washington Nationals,Texas Rangers,1
