From,To,count
San Diego Padres,Chicago White Sox,1
Chicago White Sox,San Diego Padres,1
Kansas City Royals,Texas Rangers,1
Oakland Athletics,San Diego Padres,2
San Diego Padres,Oakland Athletics,2
Miami Marlins,Toronto Blue Jays,5
Toronto Blue Jays,Miami Marlins,7
Arizona Diamondbacks,Colorado Rockies,1
Colorado Rockies,Arizona Diamondbacks,1
Baltimore Orioles,Seattle Mariners,1
Seattle Mariners,Baltimore Orioles,1
Oakland Athletics,New York Mets,2
Boston Red Sox,Baltimore Orioles,1
Boston Red Sox,Oakland Athletics,1
Pittsburgh Pirates,Kansas City Royals,3
Kansas City Royals,Pittsburgh Pirates,2
San Diego Padres,Texas Rangers,1
Washington Nationals,Minnesota Twins,1
Minnesota Twins,Washington Nationals,1
Pittsburgh Pirates,Oakland Athletics,1
Oakland Athletics,Pittsburgh Pirates,1
Atlanta Braves,Los Angeles Angels,1
Los Angeles Angels,Atlanta Braves,1
Baltimore Orioles,Pittsburgh Pirates,1
Pittsburgh Pirates,Baltimore Orioles,1
Tampa Bay Rays,Milwaukee Brewers,1
Milwaukee Brewers,Tampa Bay Rays,1
Tampa Bay Rays,Miami Marlins,1
Miami Marlins,Tampa Bay Rays,1
Colorado Rockies,Houston Astros,2
Houston Astros,Colorado Rockies,1
Pittsburgh Pirates,Detroit Tigers,1
Detroit Tigers,Pittsburgh Pirates,1
Texas Rangers,San Diego Padres,1
New York Mets,Detroit Tigers,1
Detroit Tigers,Boston Red Sox,1
Pittsburgh Pirates,Boston Red Sox,3
Minnesota Twins,Philadelphia Phillies,1
Philadelphia Phillies,Minnesota Twins,2
Boston Red Sox,Detroit Tigers,1
Oakland Athletics,Boston Red Sox,1
Tampa Bay Rays,Kansas City Royals,2
Kansas City Royals,Tampa Bay Rays,4
Philadelphia Phillies,Texas Rangers,2
Texas Rangers,Philadelphia Phillies,1
Arizona Diamondbacks,Cleveland Indians,3
Cincinnati Reds,Cleveland Indians,2
Cleveland Indians,Cincinnati Reds,2
Cleveland Indians,Arizona Diamondbacks,4
Los Angeles Dodgers,St. Louis Cardinals,1
St. Louis Cardinals,Los Angeles Dodgers,1
Tampa Bay Rays,San Diego Padres,1
San Diego Padres,Tampa Bay Rays,1
Toronto Blue Jays,New York Mets,4
New York Mets,Toronto Blue Jays,3
New York Mets,Oakland Athletics,1
Los Angeles Angels,Seattle Mariners,1
Houston Astros,Los Angeles Dodgers,1
Seattle Mariners,Los Angeles Angels,1
Los Angeles Dodgers,Houston Astros,1
